Open,High,Low,Close,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,Open_1,High_1,Low_1,Close_1,Body_1,Range_1,Upper_Wick_1,Lower_Wick_1,Body_Ratio_1,Upper_Wick_Ratio_1,Lower_Wick_Ratio_1,Open_2,High_2,Low_2,Close_2,Body_2,Range_2,Upper_Wick_2,Lower_Wick_2,Body_Ratio_2,Upper_Wick_Ratio_2,Lower_Wick_Ratio_2,Trend_Encoded,Market_Control_Encoded,HTF_Bias_Encoded,Trend_Reversal_Encoded,Reversal_Confirmed_Encoded,Hammer,Inverted_Hammer,Doji,Bullish_Engulfing,Bearish_Engulfing,Shooting_Star,Morning_Star,Evening_Star
694.44,701.52,691.92,697.0,16683622,2.56,9.6,4.52,2.52,0.2667,0.4708,0.2625,694.89,698.5,684.84,686.44,8.45,13.66,3.61,1.6,0.6186,0.2643,0.1171,700.84,704.79,696.26,702.73,1.89,8.53,2.06,4.58,0.2216,0.2415,0.5369,0,0,1,0,0,0,0,0,0,0,0,0,0
692.61,701.5,690.32,691.76,16047902,0.85,11.18,8.89,1.44,0.076,0.7952,0.1288,694.44,701.52,691.92,697.0,2.56,9.6,4.52,2.52,0.2667,0.4708,0.2625,694.89,698.5,684.84,686.44,8.45,13.66,3.61,1.6,0.6186,0.2643,0.1171,0,0,1,0,0,0,0,1,0,0,0,0,0
703.4,708.61,700.04,707.69,14982742,4.29,8.57,0.92,3.36,0.5006,0.1074,0.3921,692.61,701.5,690.32,691.76,0.85,11.18,8.89,1.44,0.076,0.7952,0.1288,694.44,701.52,691.92,697.0,2.56,9.6,4.52,2.52,0.2667,0.4708,0.2625,0,0,1,0,0,0,0,0,0,0,0,0,0
709.48,712.24,703.88,707.53,12478359,1.95,8.36,2.76,3.65,0.2333,0.3301,0.4366,703.4,708.61,700.04,707.69,4.29,8.57,0.92,3.36,0.5006,0.1074,0.3921,692.61,701.5,690.32,691.76,0.85,11.18,8.89,1.44,0.076,0.7952,0.1288,0,0,1,0,0,0,0,0,0,0,0,0,0
706.34,712.59,703.3,705.73,18282382,0.61,9.29,6.25,2.43,0.0657,0.6728,0.2616,709.48,712.24,703.88,707.53,1.95,8.36,2.76,3.65,0.2333,0.3301,0.4366,703.4,708.61,700.04,707.69,4.29,8.57,0.92,3.36,0.5006,0.1074,0.3921,0,0,1,0,0,0,0,1,0,0,0,0,1
704.04,708.61,695.74,699.19,15816535,4.85,12.87,4.57,3.45,0.3768,0.3551,0.2681,706.34,712.59,703.3,705.73,0.61,9.29,6.25,2.43,0.0657,0.6728,0.2616,709.48,712.24,703.88,707.53,1.95,8.36,2.76,3.65,0.2333,0.3301,0.4366,0,0,1,0,0,0,0,0,0,0,0,0,0
702.14,703.99,694.09,696.65,15817859,5.49,9.9,1.85,2.56,0.5545,0.1869,0.2586,704.04,708.61,695.74,699.19,4.85,12.87,4.57,3.45,0.3768,0.3551,0.2681,706.34,712.59,703.3,705.73,0.61,9.29,6.25,2.43,0.0657,0.6728,0.2616,0,0,1,0,0,0,0,0,0,0,0,0,0
699.01,705.57,698.55,703.08,12847975,4.07,7.02,2.49,0.46,0.5798,0.3547,0.0655,702.14,703.99,694.09,696.65,5.49,9.9,1.85,2.56,0.5545,0.1869,0.2586,704.04,708.61,695.74,699.19,4.85,12.87,4.57,3.45,0.3768,0.3551,0.2681,0,0,1,0,0,0,0,0,0,0,0,0,0
710.21,724.59,710.07,722.78,29463471,12.57,14.52,1.81,0.14,0.8657,0.1247,0.0096,699.01,705.57,698.55,703.08,4.07,7.02,2.49,0.46,0.5798,0.3547,0.0655,702.14,703.99,694.09,696.65,5.49,9.9,1.85,2.56,0.5545,0.1869,0.2586,0,0,1,0,0,0,0,0,0,0,0,1,0
735.58,735.58,697.82,700.54,32545850,35.04,37.76,0.0,2.72,0.928,0.0,0.072,710.21,724.59,710.07,722.78,12.57,14.52,1.81,0.14,0.8657,0.1247,0.0096,699.01,705.57,698.55,703.08,4.07,7.02,2.49,0.46,0.5798,0.3547,0.0655,0,0,1,0,0,0,0,0,0,1,0,0,0
