Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,672.22,690.14,698.14,688.26,693.98,14004468
2020-01-02,683.66,701.89,704.47,691.24,691.24,17710316
2020-01-03,684.48,702.73,704.79,696.26,700.84,20984698
2020-01-06,668.61,686.44,698.5,684.84,694.89,24519177
2020-01-07,678.9,697.0,701.52,691.92,694.44,16683622
2020-01-08,673.8,691.76,701.5,690.32,692.61,16047902
2020-01-09,689.32,707.69,708.61,700.04,703.4,14982742
2020-01-10,689.16,707.53,712.24,703.88,709.48,12478359
2020-01-13,687.4,705.73,712.59,703.3,706.34,18282382
2020-01-14,681.03,699.19,708.61,695.74,704.04,15816535
2020-01-15,678.56,696.65,703.99,694.09,702.14,15817859
2020-01-16,684.82,703.08,705.57,698.55,699.01,12847975
2020-01-17,704.01,722.78,724.59,710.07,710.21,29463471
2020-01-20,682.35,700.54,735.58,697.82,735.58,32545850
2020-01-21,683.04,701.25,706.71,695.81,698.82,18922720
2020-01-22,682.79,701.0,707.12,699.97,705.86,10322817
2020-01-23,679.9,698.02,704.93,695.21,702.44,11247739
2020-01-24,677.54,695.6,702.37,694.23,698.09,14628445
2020-01-27,670.86,688.74,696.93,688.04,692.56,13387750
2020-01-28,655.36,672.83,690.32,669.11,689.68,24532236
2020-01-29,658.97,676.54,683.19,669.31,673.89,24746565
2020-01-30,642.89,660.03,676.47,658.32,676.15,22402689
2020-01-31,628.6,645.36,664.38,643.32,664.26,34750310
2020-02-03,616.96,633.4,640.01,623.14,626.27,30712290
2020-02-04,635.17,652.1,654.89,639.03,640.03,25383901
2020-02-05,645.01,662.21,664.17,653.89,655.99,18472100
2020-02-06,649.15,666.46,670.66,658.37,664.77,15538577
2020-02-07,638.4,655.42,663.97,652.97,663.35,12209212
2020-02-10,639.26,656.31,660.83,644.81,652.83,15142476
2020-02-11,646.9,664.15,670.3,660.63,661.7,13999816
2020-02-12,654.72,672.17,674.25,665.18,665.7,13533565
2020-02-13,656.43,673.93,675.58,668.65,675.58,13565659
2020-02-14,662.42,680.08,686.41,664.31,675.35,21227841
2020-02-17,658.26,675.81,688.56,674.0,680.72,13149130
2020-02-18,653.42,670.85,674.73,666.27,674.73,11127161
2020-02-19,669.63,687.49,688.7,674.37,676.31,14084409
2020-02-20,661.68,679.33,689.41,678.34,684.38,16892268
2020-02-24,643.43,660.58,675.23,658.11,671.92,21370214
2020-02-25,630.71,647.53,663.53,644.6,663.53,27745062
2020-02-26,619.85,636.38,645.68,634.25,644.6,29362748
2020-02-27,617.29,633.75,637.2,625.86,634.55,25054993
2020-02-28,591.64,607.41,620.37,605.75,619.41,39315769
2020-03-02,586.07,601.7,625.86,594.82,619.51,29500495
2020-03-03,597.96,613.91,618.96,604.37,607.89,27398798
2020-03-04,596.56,612.47,618.91,597.93,618.09,22105261
2020-03-05,583.85,599.41,620.81,597.06,618.18,30510390
2020-03-06,565.97,581.06,588.9,567.39,580.6,33734039
2020-03-09,496.12,509.35,567.34,500.6,566.91,88187018
2020-03-11,513.67,527.36,538.75,506.54,506.54,59578576
2020-03-12,473.35,485.97,503.34,479.43,496.03,55970485
2020-03-13,492.18,505.31,521.17,430.83,456.25,73297403
2020-03-16,452.29,464.34,493.6,459.45,484.85,38482258
2020-03-17,448.86,460.82,484.6,458.63,478.77,45445979
2020-03-18,431.27,442.77,473.58,439.34,468.73,44730415
2020-03-19,408.65,419.54,442.08,407.88,420.64,61404010
2020-03-20,453.29,465.37,473.12,425.16,429.51,63360475
2020-03-23,393.66,404.16,434.31,400.32,418.86,40670949
2020-03-24,420.09,431.29,443.45,409.53,425.16,45734887
2020-03-25,481.92,494.77,526.45,440.37,440.62,73130298
2020-03-26,474.77,487.43,510.61,476.53,500.96,45744488
2020-03-27,474.51,487.16,506.22,478.29,500.6,41657940
2020-03-30,458.85,471.09,491.36,466.31,475.73,30229866
2020-03-31,495.95,509.17,516.51,479.11,490.97,44292810
2020-04-01,481.12,493.95,514.13,477.83,513.05,41597459
2020-04-03,479.78,492.57,518.63,482.9,518.63,41367807
2020-04-07,537.07,551.39,555.0,502.88,503.84,54373624
2020-04-08,530.86,545.01,561.86,530.31,539.46,49880330
2020-04-09,543.24,557.72,563.59,545.4,555.0,33032857
2020-04-13,529.52,543.64,555.46,539.46,550.41,23673784
2020-04-15,512.02,525.67,565.06,522.54,547.25,35321842
2020-04-16,520.13,533.99,542.86,523.46,525.67,37455706
2020-04-17,545.04,559.57,562.31,545.24,555.91,33269335
2020-04-20,553.86,568.62,574.66,549.51,560.49,36030932
2020-04-21,550.98,565.67,572.37,532.14,553.17,61371628
2020-04-22,607.2,623.39,633.13,594.32,603.46,142683366
2020-04-23,610.45,626.73,633.56,618.68,625.11,65464502
2020-04-24,630.98,647.8,683.44,615.89,617.24,134986308
2020-04-27,636.66,653.63,674.32,650.55,655.58,58482901
2020-04-28,635.95,652.9,665.38,636.44,662.89,78453401
2020-04-29,635.41,652.35,664.56,649.18,660.56,37494672
2020-04-30,652.8,670.21,683.44,657.43,664.7,71345899
2020-05-04,639.09,656.13,669.75,648.01,658.32,53456868
2020-05-05,650.42,667.76,676.15,661.61,664.58,44903763
2020-05-06,650.46,667.81,678.87,660.83,669.29,40489094
2020-05-07,671.04,688.93,691.99,660.61,665.18,50026966
2020-05-08,695.46,714.0,722.28,702.71,706.32,84262770
2020-05-11,702.14,720.86,738.32,718.8,722.32,67085063
2020-05-12,658.7,676.26,717.0,669.75,715.37,100683202
2020-05-13,672.68,690.61,704.71,671.02,704.71,66430125
2020-05-14,645.48,662.69,690.73,659.97,677.94,49266771
2020-05-15,656.02,673.51,676.88,653.07,666.41,62152260
2020-05-18,647.64,664.91,683.94,659.02,678.4,62796089
2020-05-19,633.32,650.21,674.57,647.6,672.41,42315854
2020-05-20,644.47,661.65,667.72,642.87,650.71,55320985
2020-05-21,647.86,665.14,674.46,657.64,662.25,39167981
2020-05-22,643.5,660.66,672.87,658.33,670.01,37828973
2020-05-26,640.13,657.2,669.04,653.62,668.32,33216635
2020-05-27,649.8,667.12,671.02,651.64,660.41,35667956
2020-05-28,661.8,679.44,682.9,668.71,671.48,40126278
2020-05-29,658.27,675.82,679.33,670.4,677.48,40022527
2020-06-01,683.42,701.64,709.95,681.15,683.02,39943702
2020-06-02,690.32,708.73,710.71,701.85,704.25,22153960
2020-06-03,693.0,711.47,719.94,707.64,713.02,25381289
2020-06-04,710.14,729.08,733.55,711.17,712.56,34202350
2020-06-05,711.0,729.95,746.71,726.26,736.09,33076685
2020-06-08,705.51,724.32,746.89,722.25,746.89,31414953
2020-06-09,690.97,709.39,730.55,707.48,720.08,25857161
2020-06-10,706.71,725.55,728.96,710.73,712.14,22132647
2020-06-11,691.22,709.65,723.61,706.56,722.71,20385805
2020-06-12,714.19,733.23,735.17,690.87,692.25,38548899
2020-06-15,725.76,745.11,750.84,720.45,722.25,53107403
2020-06-16,727.18,746.57,760.81,731.62,758.24,51187003
2020-06-17,726.12,745.48,754.76,739.37,742.21,41782053
2020-06-18,744.35,764.2,768.4,740.98,741.63,40471557
2020-06-19,790.88,811.96,825.53,767.01,770.7,105804173
2020-06-22,784.92,805.85,832.64,800.7,818.42,60198705
2020-06-23,773.57,794.2,813.97,791.98,807.62,37962078
2020-06-24,776.69,797.4,818.1,789.95,801.12,51586221
2020-06-25,772.22,792.81,807.16,790.57,797.01,39679374
2020-06-26,782.9,803.77,808.55,792.4,797.84,30921913
2020-06-29,774.58,795.23,802.89,791.73,797.49,25621946
2020-06-30,766.02,786.44,803.47,782.5,801.63,30276420
2020-07-01,781.08,801.9,807.16,788.26,793.78,28464103
2020-07-02,794.52,812.4,815.75,800.73,804.39,28789533
2020-07-03,806.96,825.12,827.47,815.93,821.38,29434266
2020-07-06,835.8,854.61,857.47,827.05,833.01,47016185
2020-07-07,823.0,841.52,860.4,833.61,858.39,35189589
2020-07-08,811.52,829.78,846.83,826.08,841.8,26204095
2020-07-09,823.37,841.89,846.85,824.35,834.85,36418942
2020-07-10,847.65,866.72,869.74,841.89,843.85,43759967
