Date,Adj Close,Close,High,Low,Open,Volume,Body,Range,Upper_Wick,Lower_Wick,Body_Ratio,Upper_Wick_Ratio,Lower_Wick_Ratio,PivotHigh,PivotLow,HH,HL,LH,LL,Structure,Trend,Market_Control,EMA50,EMA200,HTF_Bias,Hammer,Inverted_Hammer,Doji,Bullish_Engulfing,Bearish_Engulfing,Shooting_Star,Morning_Star,Evening_Star,Previous_Trend,Trend_Reversal,Pattern_Context,Reversal_Confirmed
2020-01-01,672.22,690.14,698.14,688.26,693.98,14004468,3.84,9.88,4.16,1.88,0.3887,0.4211,0.1903,,,False,False,False,False,,Sideways,Neutral,690.14,690.14,Bearish,0,0,0,0,0,0,0,0,,No Reversal,No Context,No
2020-01-02,683.66,701.89,704.47,691.24,691.24,17710316,10.65,13.23,2.58,0.0,0.805,0.195,0.0,,,False,False,False,False,,Sideways,Neutral,690.6,690.26,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-03,684.48,702.73,704.79,696.26,700.84,20984698,1.89,8.53,2.06,4.58,0.2216,0.2415,0.5369,,,False,False,False,False,,Sideways,Neutral,691.08,690.38,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-06,668.61,686.44,698.5,684.84,694.89,24519177,8.45,13.66,3.61,1.6,0.6186,0.2643,0.1171,,,False,False,False,False,,Sideways,Neutral,690.89,690.34,Bullish,0,0,0,0,0,0,0,1,Sideways,No Reversal,No Context,No
2020-01-07,678.9,697.0,701.52,691.92,694.44,16683622,2.56,9.6,4.52,2.52,0.2667,0.4708,0.2625,,,False,False,False,False,,Sideways,Neutral,691.13,690.41,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-08,673.8,691.76,701.5,690.32,692.61,16047902,0.85,11.18,8.89,1.44,0.076,0.7952,0.1288,,,False,False,False,False,,Sideways,Neutral,691.16,690.42,Bullish,0,0,1,0,0,0,0,0,Sideways,No Reversal,Market Indecision,No
2020-01-09,689.32,707.69,708.61,700.04,703.4,14982742,4.29,8.57,0.92,3.36,0.5006,0.1074,0.3921,,,False,False,False,False,,Sideways,Neutral,691.81,690.59,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-10,689.16,707.53,712.24,703.88,709.48,12478359,1.95,8.36,2.76,3.65,0.2333,0.3301,0.4366,,,False,False,False,False,,Sideways,Neutral,692.42,690.76,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
2020-01-13,687.4,705.73,712.59,703.3,706.34,18282382,0.61,9.29,6.25,2.43,0.0657,0.6728,0.2616,,,False,False,False,False,,Sideways,Neutral,692.95,690.91,Bullish,0,0,1,0,0,0,0,1,Sideways,No Reversal,Market Indecision,No
2020-01-14,681.03,699.19,708.61,695.74,704.04,15816535,4.85,12.87,4.57,3.45,0.3768,0.3551,0.2681,,,False,False,False,False,,Sideways,Neutral,693.19,690.99,Bullish,0,0,0,0,0,0,0,0,Sideways,No Reversal,No Context,No
